culmen_length_mm,flipper_length_mm,body_mass_g,culmen_depth_mm,island,sex
39.1,181,3750,18.7,2,2
39.5,186,3800,17.4,2,1
40.3,195,3250,18.0,2,1
36.7,193,3450,19.3,2,1
39.3,190,3650,20.6,2,2
38.9,181,3625,17.8,2,1
39.2,195,4675,19.6,2,2
34.1,193,3475,18.1,2,3
42.0,190,4250,20.2,2,3
37.8,186,3300,17.1,2,3
37.8,180,3700,17.3,2,3
41.1,182,3200,17.6,2,1
38.6,191,3800,21.2,2,2
34.6,198,4400,21.1,2,2
36.6,185,3700,17.8,2,1
38.7,195,3450,19.0,2,1
42.5,197,4500,20.7,2,2
34.4,184,3325,18.4,2,1
46.0,194,4200,21.5,2,2
37.8,174,3400,18.3,0,1
37.7,180,3600,18.7,0,2
35.9,189,3800,19.2,0,1
38.2,185,3950,18.1,0,2
38.8,180,3800,17.2,0,2
35.3,187,3800,18.9,0,1
40.6,183,3550,18.6,0,2
40.5,187,3200,17.9,0,1
37.9,172,3150,18.6,0,1
40.5,180,3950,18.9,0,2
39.5,178,3250,16.7,1,1
37.2,178,3900,18.1,1,2
39.5,188,3300,17.8,1,1
40.9,184,3900,18.9,1,2
36.4,195,3325,17.0,1,1
39.2,196,4150,21.1,1,2
38.8,190,3950,20.0,1,2
42.2,180,3550,18.5,1,1
37.6,181,3300,19.3,1,1
39.8,184,4650,19.1,1,2
36.5,182,3150,18.0,1,1
40.8,195,3900,18.4,1,2
36.0,186,3100,18.5,1,1
44.1,196,4400,19.7,1,2
37.0,185,3000,16.9,1,1
39.6,190,4600,18.8,1,2
41.1,182,3425,19.0,1,2
37.5,179,2975,18.9,1,3
36.0,190,3450,17.9,1,1
42.3,191,4150,21.2,1,2
39.6,186,3500,17.7,0,1
40.1,188,4300,18.9,0,2
35.0,190,3450,17.9,0,1
42.0,200,4050,19.5,0,2
34.5,187,2900,18.1,0,1
41.4,191,3700,18.6,0,2
39.0,186,3550,17.5,0,1
40.6,193,3800,18.8,0,2
36.5,181,2850,16.6,0,1
37.6,194,3750,19.1,0,2
35.7,185,3150,16.9,0,1
41.3,195,4400,21.1,0,2
37.6,185,3600,17.0,0,1
41.1,192,4050,18.2,0,2
36.4,184,2850,17.1,0,1
41.6,192,3950,18.0,0,2
35.5,195,3350,16.2,0,1
41.1,188,4100,19.1,0,2
35.9,190,3050,16.6,2,1
41.8,198,4450,19.4,2,2
33.5,190,3600,19.0,2,1
39.7,190,3900,18.4,2,2
39.6,196,3550,17.2,2,1
45.8,197,4150,18.9,2,2
35.5,190,3700,17.5,2,1
42.8,195,4250,18.5,2,2
40.9,191,3700,16.8,2,1
37.2,184,3900,19.4,2,2
36.2,187,3550,16.1,2,1
42.1,195,4000,19.1,2,2
34.6,189,3200,17.2,2,1
42.9,196,4700,17.6,2,2
36.7,187,3800,18.8,2,1
35.1,193,4200,19.4,2,2
37.3,191,3350,17.8,1,1
41.3,194,3550,20.3,1,2
36.3,190,3800,19.5,1,2
36.9,189,3500,18.6,1,1
38.3,189,3950,19.2,1,2
38.9,190,3600,18.8,1,1
35.7,202,3550,18.0,1,1
41.1,205,4300,18.1,1,2
34.0,185,3400,17.1,1,1
39.6,186,4450,18.1,1,2
36.2,187,3300,17.3,1,1
40.8,208,4300,18.9,1,2
38.1,190,3700,18.6,1,1
40.3,196,4350,18.5,1,2
33.1,178,2900,16.1,1,1
43.2,192,4100,18.5,1,2
35.0,192,3725,17.9,0,1
41.0,203,4725,20.0,0,2
37.7,183,3075,16.0,0,1
37.8,190,4250,20.0,0,2
37.9,193,2925,18.6,0,1
39.7,184,3550,18.9,0,2
38.6,199,3750,17.2,0,1
38.2,190,3900,20.0,0,2
38.1,181,3175,17.0,0,1
43.2,197,4775,19.0,0,2
38.1,198,3825,16.5,0,1
45.6,191,4600,20.3,0,2
39.7,193,3200,17.7,0,1
42.2,197,4275,19.5,0,2
39.6,191,3900,20.7,0,1
42.7,196,4075,18.3,0,2
38.6,188,2900,17.0,2,1
37.3,199,3775,20.5,2,2
35.7,189,3350,17.0,2,1
41.1,189,3325,18.6,2,2
36.2,187,3150,17.2,2,1
37.7,198,3500,19.8,2,2
40.2,176,3450,17.0,2,1
41.4,202,3875,18.5,2,2
35.2,186,3050,15.9,2,1
40.6,199,4000,19.0,2,2
38.8,191,3275,17.6,2,1
41.5,195,4300,18.3,2,2
39.0,191,3050,17.1,2,1
44.1,210,4000,18.0,2,2
38.5,190,3325,17.9,2,1
43.1,197,3500,19.2,2,2
36.8,193,3500,18.5,1,1
37.5,199,4475,18.5,1,2
38.1,187,3425,17.6,1,1
41.1,190,3900,17.5,1,2
35.6,191,3175,17.5,1,1
40.2,200,3975,20.1,1,2
37.0,185,3400,16.5,1,1
39.7,193,4250,17.9,1,2
40.2,193,3400,17.1,1,1
40.6,187,3475,17.2,1,2
32.1,188,3050,15.5,1,1
40.7,190,3725,17.0,1,2
37.3,192,3000,16.8,1,1
39.0,185,3650,18.7,1,2
39.2,190,4250,18.6,1,2
36.6,184,3475,18.4,1,1
36.0,195,3450,17.8,1,1
37.8,193,3750,18.1,1,2
36.0,187,3700,17.1,1,1
41.5,201,4000,18.5,1,2
46.5,192,3500,17.9,1,1
50.0,196,3900,19.5,1,2
51.3,193,3650,19.2,1,2
45.4,188,3525,18.7,1,1
52.7,197,3725,19.8,1,2
45.2,198,3950,17.8,1,1
46.1,178,3250,18.2,1,1
51.3,197,3750,18.2,1,2
46.0,195,4150,18.9,1,1
51.3,198,3700,19.9,1,2
46.6,193,3800,17.8,1,1
51.7,194,3775,20.3,1,2
47.0,185,3700,17.3,1,1
52.0,201,4050,18.1,1,2
45.9,190,3575,17.1,1,1
50.5,201,4050,19.6,1,2
50.3,197,3300,20.0,1,2
58.0,181,3700,17.8,1,1
46.4,190,3450,18.6,1,1
49.2,195,4400,18.2,1,2
42.4,181,3600,17.3,1,1
48.5,191,3400,17.5,1,2
43.2,187,2900,16.6,1,1
50.6,193,3800,19.4,1,2
46.7,195,3300,17.9,1,1
52.0,197,4150,19.0,1,2
50.5,200,3400,18.4,1,1
49.5,200,3800,19.0,1,2
46.4,191,3700,17.8,1,1
52.8,205,4550,20.0,1,2
40.9,187,3200,16.6,1,1
54.2,201,4300,20.8,1,2
42.5,187,3350,16.7,1,1
51.0,203,4100,18.8,1,2
49.7,195,3600,18.6,1,2
47.5,199,3900,16.8,1,1
47.6,195,3850,18.3,1,1
52.0,210,4800,20.7,1,2
46.9,192,2700,16.6,1,1
53.5,205,4500,19.9,1,2
49.0,210,3950,19.5,1,2
46.2,187,3650,17.5,1,1
50.9,196,3550,19.1,1,2
45.5,196,3500,17.0,1,1
50.9,196,3675,17.9,1,1
50.8,201,4450,18.5,1,2
50.1,190,3400,17.9,1,1
49.0,212,4300,19.6,1,2
51.5,187,3250,18.7,1,2
49.8,198,3675,17.3,1,1
48.1,199,3325,16.4,1,1
51.4,201,3950,19.0,1,2
45.7,193,3600,17.3,1,1
50.7,203,4050,19.7,1,2
42.5,187,3350,17.3,1,1
52.2,197,3450,18.8,1,2
45.2,191,3250,16.6,1,1
49.3,203,4050,19.9,1,2
50.2,202,3800,18.8,1,2
45.6,194,3525,19.4,1,1
51.9,206,3950,19.5,1,2
46.8,189,3650,16.5,1,1
45.7,195,3650,17.0,1,1
55.8,207,4000,19.8,1,2
43.5,202,3400,18.1,1,1
49.6,193,3775,18.2,1,2
50.8,210,4100,19.0,1,2
50.2,198,3775,18.7,1,1
46.1,211,4500,13.2,0,1
50.0,230,5700,16.3,0,2
48.7,210,4450,14.1,0,1
50.0,218,5700,15.2,0,2
47.6,215,5400,14.5,0,2
46.5,210,4550,13.5,0,1
45.4,211,4800,14.6,0,1
46.7,219,5200,15.3,0,2
43.3,209,4400,13.4,0,1
46.8,215,5150,15.4,0,2
40.9,214,4650,13.7,0,1
49.0,216,5550,16.1,0,2
45.5,214,4650,13.7,0,1
48.4,213,5850,14.6,0,2
45.8,210,4200,14.6,0,1
49.3,217,5850,15.7,0,2
42.0,210,4150,13.5,0,1
49.2,221,6300,15.2,0,2
46.2,209,4800,14.5,0,1
48.7,222,5350,15.1,0,2
50.2,218,5700,14.3,0,2
45.1,215,5000,14.5,0,1
46.5,213,4400,14.5,0,1
46.3,215,5050,15.8,0,2
42.9,215,5000,13.1,0,1
46.1,215,5100,15.1,0,2
44.5,216,4100,14.3,0,3
47.8,215,5650,15.0,0,2
48.2,210,4600,14.3,0,1
50.0,220,5550,15.3,0,2
47.3,222,5250,15.3,0,2
42.8,209,4700,14.2,0,1
45.1,207,5050,14.5,0,1
59.6,230,6050,17.0,0,2
49.1,220,5150,14.8,0,1
48.4,220,5400,16.3,0,2
42.6,213,4950,13.7,0,1
44.4,219,5250,17.3,0,2
44.0,208,4350,13.6,0,1
48.7,208,5350,15.7,0,2
42.7,208,3950,13.7,0,1
49.6,225,5700,16.0,0,2
45.3,210,4300,13.7,0,1
49.6,216,4750,15.0,0,2
50.5,222,5550,15.9,0,2
43.6,217,4900,13.9,0,1
45.5,210,4200,13.9,0,1
50.5,225,5400,15.9,0,2
44.9,213,5100,13.3,0,1
45.2,215,5300,15.8,0,2
46.6,210,4850,14.2,0,1
48.5,220,5300,14.1,0,2
45.1,210,4400,14.4,0,1
50.1,225,5000,15.0,0,2
46.5,217,4900,14.4,0,1
45.0,220,5050,15.4,0,2
43.8,208,4300,13.9,0,1
45.5,220,5000,15.0,0,2
43.2,208,4450,14.5,0,1
50.4,224,5550,15.3,0,2
45.3,208,4200,13.8,0,1
46.2,221,5300,14.9,0,2
45.7,214,4400,13.9,0,1
54.3,231,5650,15.7,0,2
45.8,219,4700,14.2,0,1
49.8,230,5700,16.8,0,2
46.2,214,4650,14.4,0,3
49.5,229,5800,16.2,0,2
43.5,220,4700,14.2,0,1
50.7,223,5550,15.0,0,2
47.7,216,4750,15.0,0,1
46.4,221,5000,15.6,0,2
48.2,221,5100,15.6,0,2
46.5,217,5200,14.8,0,1
46.4,216,4700,15.0,0,1
48.6,230,5800,16.0,0,2
47.5,209,4600,14.2,0,1
51.1,220,6000,16.3,0,2
45.2,215,4750,13.8,0,1
45.2,223,5950,16.4,0,2
49.1,212,4625,14.5,0,1
52.5,221,5450,15.6,0,2
47.4,212,4725,14.6,0,1
50.0,224,5350,15.9,0,2
44.9,212,4750,13.8,0,1
50.8,228,5600,17.3,0,2
43.4,218,4600,14.4,0,1
51.3,218,5300,14.2,0,2
47.5,212,4875,14.0,0,1
52.1,230,5550,17.0,0,2
47.5,218,4950,15.0,0,1
52.2,228,5400,17.1,0,2
45.5,212,4750,14.5,0,1
49.5,224,5650,16.1,0,2
44.5,214,4850,14.7,0,1
50.8,226,5200,15.7,0,2
49.4,216,4925,15.8,0,2
46.9,222,4875,14.6,0,1
48.4,203,4625,14.4,0,1
51.1,225,5250,16.5,0,2
48.5,219,4850,15.0,0,1
55.9,228,5600,17.0,0,2
47.2,215,4975,15.5,0,1
49.1,228,5500,15.0,0,2
47.3,216,4725,13.8,0,3
46.8,215,5500,16.1,0,2
41.7,210,4700,14.7,0,1
53.4,219,5500,15.8,0,2
43.3,208,4575,14.0,0,1
48.1,209,5500,15.1,0,2
50.5,216,5000,15.2,0,1
49.8,229,5950,15.9,0,2
43.5,213,4650,15.2,0,1
51.5,230,5500,16.3,0,2
46.2,217,4375,14.1,0,1
55.1,230,5850,16.0,0,2
44.5,217,4875,15.7,0,0
48.8,222,6000,16.2,0,2
47.2,214,4925,13.7,0,1
46.8,215,4850,14.3,0,1
50.4,222,5750,15.7,0,2
45.2,212,5200,14.8,0,1
49.9,213,5400,16.1,0,2
